#
#--------------------------------------------------------------------------------
##ASTER 15.04.00 CONCEPT 0000001d CALCULE LE 20/02/2023 A 11:11:33 DE TYPE        
#TABLE_SDASTER                                                                   
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       DX           DY           DZ           FLUX         FLUY         FLUZ        
Displacements    N1       00000013 DEPL                        1  0.00000E+00  0.00000E+00 -1.36083E-01  4.48604E-01  7.50000E-01 -4.56626E-03  7.01469E-04  3.51548E-03 -            -            -           
Displacements    N2       00000013 DEPL                        1  0.00000E+00  4.99999E-02 -1.36083E-01  4.48604E-01  7.00000E-01 -4.46705E-03  7.21380E-04  3.23760E-03 -            -            -           
Displacements    N3       00000013 DEPL                        1  0.00000E+00  1.00000E-01 -1.36083E-01  4.48604E-01  6.50000E-01 -4.38027E-03  7.35919E-04  2.96796E-03 -            -            -           
Displacements    N4       00000013 DEPL                        1  0.00000E+00  1.50000E-01 -1.36083E-01  4.48604E-01  6.00000E-01 -4.30304E-03  7.41944E-04  2.70542E-03 -            -            -           
Displacements    N5       00000013 DEPL                        1  0.00000E+00  2.00000E-01 -1.36083E-01  4.48604E-01  5.50000E-01 -4.23457E-03  7.40881E-04  2.45102E-03 -            -            -           
Displacements    N6       00000013 DEPL                        1  0.00000E+00  2.50000E-01 -1.36083E-01  4.48604E-01  5.00000E-01 -4.17349E-03  7.33958E-04  2.20326E-03 -            -            -           
Displacements    N7       00000013 DEPL                        1  0.00000E+00  3.00000E-01 -1.36083E-01  4.48604E-01  4.50000E-01 -4.11984E-03  7.19787E-04  1.96094E-03 -            -            -           
Displacements    N8       00000013 DEPL                        1  0.00000E+00  3.50000E-01 -1.36083E-01  4.48604E-01  4.00000E-01 -4.06880E-03  7.06321E-04  1.72591E-03 -            -            -           
Displacements    N9       00000013 DEPL                        1  0.00000E+00  4.00000E-01 -1.36083E-01  4.48604E-01  3.50000E-01 -4.02958E-03  6.85023E-04  1.49729E-03 -            -            -           
Displacements    N10      00000013 DEPL                        1  0.00000E+00  4.50000E-01 -1.36083E-01  4.48604E-01  3.00000E-01 -3.99416E-03  6.67621E-04  1.27414E-03 -            -            -           
Displacements    N11      00000013 DEPL                        1  0.00000E+00  5.00000E-01 -1.36083E-01  4.48604E-01  2.50000E-01 -3.96590E-03  6.50072E-04  1.05180E-03 -            -            -           
Displacements    N12      00000013 DEPL                        1  0.00000E+00  5.50000E-01 -1.36083E-01  4.48604E-01  2.00000E-01 -3.94357E-03  6.33618E-04  8.35207E-04 -            -            -           
Displacements    N13      00000013 DEPL                        1  0.00000E+00  6.00000E-01 -1.36083E-01  4.48604E-01  1.50000E-01 -3.92338E-03  6.21552E-04  6.17105E-04 -            -            -           
Displacements    N14      00000013 DEPL                        1  0.00000E+00  6.50000E-01 -1.36083E-01  4.48604E-01  1.00000E-01 -3.91204E-03  6.13873E-04  4.01606E-04 -            -            -           
Displacements    N15      00000013 DEPL                        1  0.00000E+00  6.97917E-01 -1.36083E-01  4.48604E-01  5.20833E-02 -3.90599E-03  6.09322E-04  1.82792E-04 -            -            -           
Displacements    N16      00000013 DEPL                        1  0.00000E+00  1.56879E+00  3.62380E-01  2.97397E-01  7.50000E-01 -1.07294E-03  7.42147E-04  3.74491E-03 -            -            -           
Displacements    N17      00000013 DEPL                        1  0.00000E+00  1.61879E+00  3.62380E-01  2.97397E-01  7.00000E-01 -1.11485E-03  8.11328E-04  3.43332E-03 -            -            -           
Displacements    N18      00000013 DEPL                        1  0.00000E+00  1.66879E+00  3.62380E-01  2.97397E-01  6.50000E-01 -1.15489E-03  8.66511E-04  3.13414E-03 -            -            -           
Displacements    N19      00000013 DEPL                        1  0.00000E+00  1.71879E+00  3.62380E-01  2.97397E-01  6.00000E-01 -1.19564E-03  9.11060E-04  2.84018E-03 -            -            -           
Displacements    N20      00000013 DEPL                        1  0.00000E+00  1.76879E+00  3.62380E-01  2.97397E-01  5.50000E-01 -1.23708E-03  9.46369E-04  2.56199E-03 -            -            -           
Displacements    N21      00000013 DEPL                        1  0.00000E+00  1.81879E+00  3.62380E-01  2.97397E-01  5.00000E-01 -1.27519E-03  9.74632E-04  2.29369E-03 -            -            -           
Displacements    N22      00000013 DEPL                        1  0.00000E+00  1.86879E+00  3.62380E-01  2.97397E-01  4.50000E-01 -1.31602E-03  9.92235E-04  2.04319E-03 -            -            -           
Displacements    N23      00000013 DEPL                        1  0.00000E+00  1.91879E+00  3.62380E-01  2.97397E-01  4.00000E-01 -1.36043E-03  9.94008E-04  1.79214E-03 -            -            -           
Displacements    N24      00000013 DEPL                        1  0.00000E+00  1.96879E+00  3.62380E-01  2.97397E-01  3.50000E-01 -1.40055E-03  1.00369E-03  1.55791E-03 -            -            -           
Displacements    N25      00000013 DEPL                        1  0.00000E+00  2.01879E+00  3.62380E-01  2.97397E-01  3.00000E-01 -1.43357E-03  9.99130E-04  1.31735E-03 -            -            -           
Displacements    N26      00000013 DEPL                        1  0.00000E+00  2.06879E+00  3.62380E-01  2.97397E-01  2.50000E-01 -1.46586E-03  1.00142E-03  1.09032E-03 -            -            -           
Displacements    N27      00000013 DEPL                        1  0.00000E+00  2.11879E+00  3.62380E-01  2.97397E-01  2.00000E-01 -1.49123E-03  9.96196E-04  8.61748E-04 -            -            -           
Displacements    N28      00000013 DEPL                        1  0.00000E+00  2.16879E+00  3.62380E-01  2.97397E-01  1.50000E-01 -1.51093E-03  9.96498E-04  6.40976E-04 -            -            -           
Displacements    N29      00000013 DEPL                        1  0.00000E+00  2.21879E+00  3.62380E-01  2.97397E-01  1.00000E-01 -1.52432E-03  9.92915E-04  4.14636E-04 -            -            -           
Displacements    N30      00000013 DEPL                        1  0.00000E+00  2.26670E+00  3.62380E-01  2.97397E-01  5.20833E-02 -1.52801E-03  9.93354E-04  1.92357E-04 -            -            -           
Displacements    N31      00000013 DEPL                        1  0.00000E+00  3.11489E+00 -9.14568E-02  4.59785E-01  7.50000E-01 -4.35696E-03  8.94985E-04  3.62904E-03 -            -            -           
Displacements    N32      00000013 DEPL                        1  0.00000E+00  3.16090E+00 -4.59495E-02  4.66533E-01  7.50000E-01 -4.11641E-03  1.05254E-03  3.73663E-03 -            -            -           
Displacements    N33      00000013 DEPL                        1  0.00000E+00  3.22884E+00 -9.14568E-02  4.59785E-01  7.00000E-01 -4.26530E-03  9.08809E-04  3.33189E-03 -            -            -           
Displacements    N34      00000013 DEPL                        1  0.00000E+00  3.27485E+00 -4.59495E-02  4.66533E-01  7.00000E-01 -4.02674E-03  1.07521E-03  3.42720E-03 -            -            -           
Displacements    N35      00000013 DEPL                        1  0.00000E+00  3.34279E+00 -9.14568E-02  4.59785E-01  6.50000E-01 -4.18244E-03  9.25777E-04  3.05072E-03 -            -            -           
Displacements    N36      00000013 DEPL                        1  0.00000E+00  3.38880E+00 -4.59495E-02  4.66533E-01  6.50000E-01 -3.95578E-03  1.08492E-03  3.12569E-03 -            -            -           
Displacements    N37      00000013 DEPL                        1  0.00000E+00  3.45674E+00 -9.14568E-02  4.59785E-01  6.00000E-01 -4.11130E-03  9.25741E-04  2.77570E-03 -            -            -           
